./instancias/texto_mas_parecido_15_300_2.txt#23:51:45#23:52:38
Iteración	Distancia Inicial	Distancia Obtenida
0	214	212
1	216	210
2	217	212
3	216	211
4	228	215
5	225	213
6	224	215
7	230	217
8	225	210
9	225	217
10	224	212
11	225	218
12	219	212
13	224	214
14	225	213
15	222	214
16	216	211
17	216	212
18	217	213
19	222	212
20	218	213
21	224	213
22	219	211
23	226	217
24	222	213
25	223	213
26	225	215
27	221	212
28	219	215
29	220	216
30	225	212
31	217	213
32	220	212
33	220	216
34	218	213
35	226	217
36	223	215
37	223	213
38	222	214
39	220	213
40	216	214
41	223	217
42	218	214
43	221	218
44	221	215
45	218	212
46	219	216
47	221	218
48	230	214
49	215	210
50	224	213
51	219	214
52	222	213
53	216	211
54	217	211
55	222	214
56	230	211
57	226	211
58	230	215
59	221	215
60	217	211
61	218	214
62	227	222
63	221	214
64	224	216
65	221	210
66	220	217
67	221	211
68	219	215
69	217	216
70	223	215
71	224	216
72	225	215
73	219	213
74	226	219
75	232	216
76	223	212
77	224	213
78	217	214
79	226	215
80	220	212
81	221	210
82	221	213
83	225	214
84	238	217
85	223	214
86	216	212
87	224	214
88	218	212
89	220	213
90	217	212
91	221	212
92	218	211
93	223	215
94	222	211
95	226	214
96	220	213
97	223	217
98	220	215
99	223	215
